"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Cash/sh","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change"
12,"IVP","Inspire Veterinary Partners Inc.","Consumer Cyclical","Personal Services","USA",10.59,,0.07,,0.95,4.58%,0.00%,1.24%,,39.57%,0.12,0.38,0.00%,0.86%,-0.09%,2.32%,0.86%,0.86%,3.02%,3.62%,10.31%,14.49%,256.57%,494.94%,108.05%,-40.67%,,-69.28%,1.66,97.88%,46.67%,300.61%,274.32%,-64.52%,3.79,606612,10.57,9.17,12.49,9.06,10.59,0.19%
13,"JOBY","Joby Aviation Inc","Industrials","Airports & Air Services","USA",4870.53,,1.31,698.26,378.19,46.62%,-0.34%,30.89%,0.23%,19.15%,12.99,72.41,0.22%,0.07%,0.07%,-0.22%,-0.07%,0.22%,0.95%,1.40%,1.87%,2.31%,31.96%,33.75%,48.81%,14.77%,-34.90%,3.38%,0.30,7.10%,5.55%,32.97%,34.75%,22.59%,2.04,568018,6.61,6.72,6.89,6.68,6.88,4.01%
14,"MIRA","Mira Pharmaceuticals Inc","Healthcare","Drug Manufacturers - General","USA",12.85,,0.24,14.78,9.75,34.05%,0.17%,4.20%,,0.16%,0.14,0.02,-0.05%,2.23%,1.07%,-1.40%,-6.57%,-11.31%,-4.45%,-9.08%,22.42%,38.25%,58.67%,17.46%,-3.48%,-11.75%,,-17.22%,0.11,11.12%,7.87%,33.73%,18.42%,-42.38%,2695.24,15397762,0.59,0.63,1.25,0.57,0.87,47.52%
15,"MLGO","MicroAlgo Inc","Technology","Software - Infrastructure","China",27.17,,2.52,5.16,1.71,77.57%,0.00%,0.14%,-0.51%,134.57%,0.26,2.30,0.01%,-0.27%,-0.28%,-0.00%,0.56%,-0.83%,-3.77%,-4.80%,-0.28%,1.42%,-44.22%,-18.49%,27.50%,-53.81%,-84.94%,-60.86%,2.75,40.44%,45.33%,-57.95%,-31.85%,-73.17%,3.19,1390126,3.44,3.52,4.13,3.49,3.57,3.78%
16,"MWG","Multi Ways Holdings Ltd","Industrials","Rental & Leasing Services","Singapore",19.38,,,30.84,10.26,66.75%,0.00%,0.31%,,0.40%,0.05,0.04,0.02%,-0.06%,2.95%,1.37%,6.53%,4.92%,4.84%,3.24%,22.37%,17.65%,39.95%,66.27%,100.80%,133.21%,2.21%,179.71%,0.08,24.24%,19.13%,67.88%,75.54%,95.41%,31.19,1309894,0.53,0.52,0.65,0.51,0.63,17.94%
17,"OPTT","Ocean Power Technologies","Industrials","Specialty Industrial Machinery","USA",36.04,,0.10,90.46,85.17,5.84%,0.00%,3.92%,-13.16%,11.17%,0.33,9.51,-0.08%,-0.08%,-0.08%,1.09%,0.86%,2.13%,-2.62%,8.38%,8.20%,10.06%,-0.42%,160.05%,67.47%,29.22%,-35.23%,26.08%,0.06,19.73%,21.78%,55.66%,87.82%,41.93%,5.88,8545107,0.37,0.36,0.44,0.36,0.40,8.67%
18,"PHUN","Phunware Inc","Technology","Software - Application","USA",61.99,,2.69,8.03,7.91,1.45%,8.10%,20.52%,,13.27%,2.88,1.05,0.26%,1.31%,-0.64%,-1.64%,-1.28%,0.78%,3.35%,3.62%,-4.10%,-4.22%,34.49%,33.56%,6.19%,105.32%,-61.30%,88.29%,0.61,5.96%,7.59%,37.87%,24.58%,-6.69%,193.50,3525714,5.83,8.20,8.90,7.03,7.72,32.42%
19,"RUM","Rumble Inc","Technology","Software - Application","USA",1875.90,,0.65,114.93,69.94,75.21%,-1.26%,9.12%,160.55%,19.74%,12.12,13.80,-0.60%,0.00%,0.45%,0.76%,0.91%,1.68%,2.47%,4.07%,0.00%,0.61%,16.46%,14.46%,4.56%,79.25%,-24.26%,48.11%,0.33,3.98%,4.13%,18.53%,6.46%,12.86%,14.93,849933,5.94,6.77,7.29,6.37,6.65,11.95%
20,"RVMD","Revolution Medicines Inc","Healthcare","Biotechnology","USA",8064.71,,10.33,164.67,137.26,16.81%,-0.47%,82.63%,7.96%,11.72%,11.91,16.09,0.99%,0.80%,-0.18%,1.67%,-0.22%,-0.45%,0.16%,1.83%,8.77%,8.77%,23.50%,22.23%,35.51%,72.72%,84.24%,70.43%,2.92,5.74%,3.81%,24.20%,24.93%,58.82%,8.84,597217,45.14,44.94,55.75,37.53,48.88,8.29%
21,"SCNI","Scinai Immunotherapeutics Ltd ADR","Healthcare","Biotechnology","Israel",3.06,,9.20,0.54,0.53,2.25%,0.00%,7.59%,-65.24%,3.90%,0.04,0.02,0.00%,-0.01%,1.58%,-0.53%,-2.07%,0.71%,0.09%,-6.59%,-23.17%,22.20%,88.32%,110.78%,18.12%,-1.39%,-61.95%,-4.77%,0.83,13.48%,19.40%,67.37%,52.21%,5.68%,151.48,4274939,4.06,4.67,8.36,4.59,5.67,39.66%
22,"SISI","Shineco Inc","Consumer Defensive","Farm Products","China",6.19,,0.09,26.39,6.43,0.26%,0.00%,0.87%,2.18%,3.04%,0.37,0.20,-0.66%,-0.83%,1.05%,0.00%,1.17%,2.13%,1.19%,2.14%,4.92%,2.99%,-69.52%,-75.32%,34.81%,-17.24%,-68.63%,-14.74%,0.80,46.19%,30.70%,-69.18%,-55.43%,-30.49%,77.93,2084368,0.84,0.93,0.97,0.90,0.96,14.22%
23,"SMR","NuScale Power Corporation","Industrials","Specialty Industrial Machinery","USA",1436.12,,1.55,88.54,77.81,12.11%,-1.57%,32.33%,4.26%,19.19%,2.86,14.93,0.06%,0.01%,0.04%,-0.29%,0.01%,-0.98%,-0.86%,1.19%,2.59%,2.01%,18.48%,91.95%,207.78%,593.16%,106.10%,393.01%,1.28,11.69%,11.76%,44.55%,83.73%,216.23%,3.03,790900,15.34,15.91,16.49,15.40,16.22,5.74%
24,"SOUN","SoundHound AI Inc","Technology","Software - Application","USA",2060.60,,0.64,329.17,281.85,14.05%,-2.38%,20.35%,6.47%,25.39%,2.72,71.57,-0.16%,-0.16%,0.00%,0.16%,0.16%,0.48%,0.00%,0.32%,2.29%,3.64%,49.05%,34.62%,42.92%,253.67%,67.38%,195.28%,0.41,14.76%,7.27%,45.19%,33.62%,77.18%,2.21,2915031,6.20,6.00,6.40,5.92,6.26,0.97%
25,"TSLL","Direxion Daily TSLA Bull 2X Shares","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,-0.06%,-0.07%,0.14%,0.21%,-0.07%,0.07%,0.54%,0.13%,0.93%,-0.40%,2.78%,100.66%,99.60%,21.20%,-18.28%,5.50%,1.29,15.57%,10.56%,39.90%,70.24%,42.30%,3.81,7627256,14.02,15.25,15.67,14.95,15.15,8.06%
26,"TSLT","T-REX 2X Long Tesla Daily Target ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,-0.04%,0.05%,0.11%,0.19%,0.43%,0.19%,0.29%,-0.38%,1.07%,-0.43%,2.72%,102.24%,99.90%,1.86%,,-15.38%,1.76,15.56%,10.53%,39.97%,70.74%,34.41%,2.49,938005,19.25,20.91,21.33,20.51,20.79,8.00%
27,"WLDS","Wearable Devices Ltd","Technology","Consumer Electronics","Israel",8.93,,0.30,20.39,12.42,22.07%,0.00%,0.66%,270.42%,5.99%,0.64,0.74,0.02%,0.05%,-2.46%,-9.53%,10.04%,7.82%,7.82%,9.85%,11.49%,11.44%,14.29%,20.48%,0.18%,34.94%,-65.43%,62.79%,0.07,8.26%,14.20%,11.13%,34.84%,20.80%,36.30,2102921,0.48,0.50,0.62,0.49,0.56,15.65%
