"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Gross Margin","Operating Margin","Profit Margin","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change"
16,"INDV","Indivior Plc","Healthcare","Drug Manufacturers - Specialty & Generic","USA",1719.99,1061.60,6.29,136.53,133.15,97.52%,0.56%,0.00%,81.17%,,0.07%,0.28,0.09,81.14%,1.16%,0.44%,0.24%,-0.19%,-0.06%,-1.42%,-0.07%,1.76%,2.84%,3.88%,5.72%,3.01%,22.80%,-21.10%,-31.71%,-27.71%,-48.15%,-15.88%,0.81,3.96%,4.19%,1.39%,-16.31%,-27.08%,1.58%,16.22%,334.84,19.84,574923,10.88,12.65,13.15,12.49,12.85,18.06%,,
17,"JD","JD.com Inc ADR","Consumer Cyclical","Internet Retail","China",36745.54,12.15,7.29,1410.49,1367.54,96.95%,0.08%,0.00%,19.24%,-11.18%,2.53%,2.96,34.56,14.68%,2.78%,2.27%,0.10%,0.03%,0.28%,0.24%,0.77%,0.75%,2.01%,1.66%,1.70%,2.48%,2.17%,-2.62%,-5.03%,13.77%,-30.32%,-7.06%,0.89,2.18%,2.60%,0.54%,-7.61%,-0.35%,1.20%,2.99%,11687.53,3.16,3200333,25.76,26.53,27.01,26.35,26.85,4.23%,,
18,"KSCP","Knightscope Inc","Industrials","Security & Protection Services","USA",28.92,,,130.98,112.58,85.95%,14.04%,0.46%,3.74%,18.67%,7.41%,4.07,8.34,-28.88%,-229.74%,-224.34%,-0.63%,-0.99%,-1.74%,-1.74%,-2.52%,-6.40%,-7.03%,-7.07%,-4.42%,-4.00%,-15.79%,-23.89%,-53.81%,-59.67%,-86.03%,-63.20%,0.03,14.97%,10.65%,-17.54%,-26.79%,-56.98%,-4.00%,4.21%,2050.95,5.05,896762,0.22,0.23,0.24,0.22,0.22,0.05%,,
19,"LPSN","Liveperson Inc","Technology","Software - Application","USA",116.08,,,87.84,69.44,79.05%,21.63%,-0.46%,55.25%,-1.25%,8.21%,1.59,5.70,57.42%,-19.83%,-31.27%,-0.38%,-1.43%,-0.76%,1.16%,-2.60%,-5.42%,-6.43%,-6.38%,-2.24%,-0.76%,23.58%,128.06%,159.15%,-56.91%,-72.99%,-65.44%,0.15,27.43%,15.80%,56.00%,80.42%,-30.04%,-6.43%,11.11%,3582.75,2.77,857453,1.26,1.40,1.40,1.28,1.31,3.97%,,
20,"LUV","Southwest Airlines Co","Industrials","Airlines","USA",16023.77,43.47,16.84,596.51,596.14,99.94%,0.39%,0.00%,83.90%,-4.53%,7.68%,4.40,45.80,15.51%,0.33%,1.59%,0.15%,-0.80%,-0.76%,0.28%,1.84%,1.42%,3.98%,5.01%,7.10%,3.06%,-2.32%,-6.09%,-8.62%,-13.93%,-24.64%,-7.29%,0.88,3.46%,2.95%,-3.54%,-3.73%,-5.15%,3.46%,-2.74%,10415.85,2.77,2498548,26.61,25.88,27.07,25.77,26.77,0.62%,,
21,"MIRA","Mira Pharmaceuticals Inc","Healthcare","Drug Manufacturers - General","USA",46.57,,,14.78,9.75,65.97%,34.05%,0.17%,4.20%,,0.17%,0.00,0.02,,0.00%,,-2.30%,0.03%,-2.45%,-2.93%,6.09%,-8.90%,-7.32%,-2.14%,-11.49%,25.04%,300.89%,343.80%,262.18%,231.68%,,200.10%,0.66,93.07%,32.01%,199.71%,255.04%,126.43%,-3.93%,38.98%,3780.30,79.36,25960533,2.36,3.28,3.73,2.93,3.15,33.52%,,
22,"NOK","Nokia Corp ADR","Technology","Communication Equipment","Finland",20754.91,50.47,11.04,5525.60,5497.98,99.50%,0.00%,,6.33%,3.80%,0.38%,1.62,20.97,42.12%,9.97%,1.95%,-0.13%,0.00%,-0.10%,0.27%,0.49%,0.80%,0.53%,0.94%,1.48%,2.03%,4.28%,1.21%,3.42%,10.70%,-4.91%,10.38%,0.09,1.76%,1.67%,-1.23%,-1.27%,5.66%,0.53%,2.32%,12945.21,2.03,2271262,3.67,3.76,3.78,3.73,3.78,2.86%,,
23,"PBM","Psyence Biomedical Ltd.","Healthcare","Biotechnology","Canada",10.62,,,13.39,4.70,35.10%,64.90%,0.00%,15.24%,14.59%,5.10%,0.23,0.24,,0.00%,,-3.27%,-5.15%,-1.15%,-7.74%,-6.03%,-31.30%,-29.78%,-25.14%,-22.21%,-33.32%,84.97%,115.74%,-0.56%,-86.04%,-92.19%,-91.41%,0.11,11.55%,14.43%,127.98%,39.76%,-82.51%,-26.53%,175.93%,1037.59,491.41,44124789,0.39,1.08,1.17,0.79,0.79,102.73%,,
24,"RES","RPC, Inc.","Energy","Oil & Gas Equipment & Services","USA",1373.98,9.21,7.59,215.03,94.79,44.08%,55.78%,0.00%,43.76%,0.05%,15.35%,8.63,14.55,22.64%,11.85%,9.79%,0.31%,0.00%,0.78%,-0.56%,1.34%,-1.76%,6.13%,6.13%,6.13%,6.13%,1.58%,0.47%,-19.07%,-7.10%,-28.46%,-11.95%,0.26,3.36%,3.25%,6.02%,0.56%,-11.15%,4.40%,6.41%,1686.64,3.96,578535,5.77,6.14,6.64,6.14,6.41,11.09%,,
25,"SERV","Serve Robotics Inc","Industrials","Specialty Industrial Machinery","USA",345.85,,,36.94,23.48,63.56%,36.70%,0.46%,0.29%,,7.16%,0.20,1.68,-95.85%,-2041.54%,-2577.51%,0.24%,0.87%,3.06%,4.74%,9.47%,4.04%,6.78%,7.64%,7.27%,9.28%,254.45%,388.06%,230.57%,,,-62.71%,1.25,56.39%,22.01%,168.99%,211.20%,135.62%,4.98%,3.74%,8447.37,3.07,2247187,8.56,8.88,9.34,8.50,9.32,8.90%,,
26,"SGMO","Sangamo Therapeutics Inc","Healthcare","Biotechnology","USA",116.41,,,207.51,186.71,89.98%,10.03%,0.00%,49.04%,6.83%,6.82%,1.96,12.73,-2.77%,-1259.72%,-1749.06%,0.39%,0.38%,2.07%,6.11%,4.63%,5.95%,10.11%,12.07%,14.77%,12.45%,39.17%,25.62%,13.79%,26.98%,-58.44%,3.26%,0.08,26.83%,16.47%,41.71%,13.86%,0.33%,9.78%,-8.75%,6491.44,10.42,5853738,0.56,0.51,0.57,0.51,0.56,0.18%,,
27,"VEV","Vicinity Motor Corp","Consumer Cyclical","Auto Manufacturers","Canada",19.08,,2.91,45.67,45.34,99.28%,10.18%,0.00%,1.03%,,0.01%,0.00,0.01,11.05%,-27.17%,-60.46%,0.03%,2.11%,2.14%,1.31%,-3.10%,-4.33%,-3.10%,-3.35%,5.00%,5.00%,-27.87%,-32.59%,-45.45%,-58.01%,-65.95%,-53.86%,0.09,14.22%,17.33%,-23.93%,-38.75%,-50.21%,1.86%,0.54%,2062.03,3.93,701472,0.37,0.37,0.40,0.36,0.38,2.41%,,
