File,Best Parameters,Best Score,Mean Squared Error,R^2 Score,Top 1 Feature,Top 1 Importance,Top 2 Feature,Top 2 Importance,Top 3 Feature,Top 3 Importance,Top 4 Feature,Top 4 Importance,Top 5 Feature,Top 5 Importance,Top 6 Feature,Top 6 Importance,Top 7 Feature,Top 7 Importance,Top 8 Feature,Top 8 Importance,Top 9 Feature,Top 9 Importance,Top 10 Feature,Top 10 Importance,Top 11 Feature,Top 11 Importance,Top 12 Feature,Top 12 Importance,Top 13 Feature,Top 13 Importance,Top 14 Feature,Top 14 Importance,Top 15 Feature,Top 15 Importance,Top 16 Feature,Top 16 Importance,Top 17 Feature,Top 17 Importance,Top 18 Feature,Top 18 Importance,Top 19 Feature,Top 19 Importance,Top 20 Feature,Top 20 Importance,Top 21 Feature,Top 21 Importance,Top 22 Feature,Top 22 Importance,Top 23 Feature,Top 23 Importance,Top 24 Feature,Top 24 Importance,Top 25 Feature,Top 25 Importance
csv/finviz (9).csv,"{'gb__subsample': 1.0, 'gb__n_estimators': 100, 'gb__min_samples_split': 2, 'gb__min_samples_leaf': 1, 'gb__max_depth': 3, 'gb__learning_rate': 0.1}",-10.803149122326236,1.0897512546409753e-05,0.9999999810894247,Volume Per Minute Relative Volume,0.15639768345866245,Volume Volume Per Minute,0.1554695849522055,Volume Per Minute^2,0.12060982295555314,Volume Relative Volume,0.0811002070962217,Market Force Indicator Insider Transactions,0.06284925710940269,Volume,0.06113189593430151,Volume Market Force Indicator,0.046318466645619706,Volume^2,0.030390220719961666,Volume Per Minute Volume_Float_Ratio,0.02810384758197179,Volume Per Minute,0.024405339441702322,Float Per Minute Volume_Float_Ratio,0.023260820984976574,Short Interest High,0.021728866927231996,High Volume_Float_Ratio,0.017593086145418733,Open Volume_Float_Ratio,0.014846065501864252,Price Volatility (Week),0.014250398357599305,Volume Volume_Float_Ratio,0.01279824345268181,Float Per Minute,0.011542819382302796,Relative Volume Insider Transactions,0.01046673860783656,Volume Per Minute Short Interest,0.010097639404326854,Relative Volume,0.009796428643576629,Volume Per Minute Market Force Indicator,0.009097318185464793,Float Short Short Interest,0.007726694042196117,Float Short Open,0.006134327475350381,Institutional Ownership Institutional Transactions,0.005960049566042626,Market Force Indicator Volatility (Month),0.005339338741184093
csv/finviz (3).csv,"{'gb__subsample': 1.0, 'gb__n_estimators': 100, 'gb__min_samples_split': 2, 'gb__min_samples_leaf': 2, 'gb__max_depth': 5, 'gb__learning_rate': 0.2}",,7.463299998342001e-07,0.9999999993274272,Volume Institutional Transactions,0.39087778764004305,Volume_Float_Ratio^2,0.3380908754515555,Volume_Float_Ratio,0.07891567390860289,Market Force Indicator Low,0.0656919857474756,Volatility (Month) Institutional Transactions,0.01999096713904141,Market Force Indicator Float Short,0.01819033488902753,Volume^2,0.017825221019083418,Volatility (Week) Volatility (Month),0.011111723026279382,Short Ratio Short Interest,0.008582232112748896,Volume,0.00639218207600357,Open Institutional Ownership,0.0054926285517661235,Market Force Indicator Open,0.004097007860822173,Volatility (Month)^2,0.003996337291693897,Volume High,0.0033959480699563955,Market Force Indicator Insider Transactions,0.003241958606516312,Volume Institutional Ownership,0.0026883005634492996,Volatility (Week)^2,0.0025527607123613794,Volume Float Per Minute,0.0022676462023066843,Short Ratio^2,0.002215437277560942,High Volume_Float_Ratio,0.00216662459590447,Short Interest Volatility (Week),0.0019807789080610767,Float Short Short Ratio,0.0015630663629035374,Short Ratio Insider Transactions,0.0009892635831437388,Float Per Minute Volume_Float_Ratio,0.0009491379298068353,Volume Volatility (Month),0.0008698158391229942
csv/finviz (35).csv,"{'gb__subsample': 0.8, 'gb__n_estimators': 100, 'gb__min_samples_split': 5, 'gb__min_samples_leaf': 1, 'gb__max_depth': 4, 'gb__learning_rate': 0.2}",-9.744778308052952,1.7912280934566728e-09,0.9999999999992837,Relative Volume,0.35096610730837285,Volume Volume Per Minute,0.15055910994296143,P/E Volatility (Week),0.13095131997243067,Float Short Short Ratio,0.09687071231506544,Float Short Institutional Transactions,0.06472716045794151,Volume Per Minute Market Force Indicator,0.03460535539282108,Volume Insider Transactions,0.027263670611503324,Short Ratio Insider Transactions,0.015318617540058895,Volume Per Minute,0.012840262560232565,P/E Short Interest,0.011456935056609628,Float Short Insider Ownership,0.010205652178231618,Market Force Indicator Institutional Ownership,0.008891052186953706,Short Ratio Low,0.008746998301051868,Float Per Minute Institutional Ownership,0.00872824952497489,High,0.008193297013540388,Price Float Per Minute,0.007045870959506432,Short Interest Average True Range,0.006814345288633427,Institutional Ownership,0.006722933731114902,Float Per Minute Institutional Transactions,0.0051417423690174975,Float Per Minute Float Short,0.0047274810060618875,Short Interest Insider Ownership,0.0038937618243940655,Float Short Volatility (Week),0.0029635381128587344,Short Ratio,0.002910333558860465,Market Force Indicator Short Interest,0.002590674991725739,Price Float Short,0.0023037447303389286
csv/finviz (48).csv,"{'gb__subsample': 1.0, 'gb__n_estimators': 100, 'gb__min_samples_split': 2, 'gb__min_samples_leaf': 2, 'gb__max_depth': 5, 'gb__learning_rate': 0.2}",,1.025088144073622e-06,0.9999999983446554,Volume Volume_Float_Ratio,0.3483067585891512,Volume Relative Volume,0.2163506812296891,Volume Per Minute Relative Volume,0.18308788775128226,Relative Volume Volatility (Week),0.16215085663917497,Float Short Short Ratio,0.015776266874745332,High Volatility (Week),0.014844302005166746,Volume Per Minute Volume_Float_Ratio,0.012304630854881031,Low^2,0.008511047820078563,Price Institutional Transactions,0.0063677179316593505,Volume_Float_Ratio^2,0.004863840064216318,Low,0.004595721082486836,Short Interest Volatility (Month),0.003039924889003965,Insider Transactions Volume_Float_Ratio,0.002947309090149068,Float Per Minute Open,0.0028946381020227524,Open Volatility (Month),0.0024652885825851736,Volume High,0.0018904603107956378,Price Average True Range,0.0016879845548977775,Short Ratio Average True Range,0.0014184667411270987,Price Volatility (Month),0.0012081847515522195,Short Ratio^2,0.0011390980769604812,Volatility (Month) Insider Transactions,0.0006996028265327026,Market Force Indicator Open,0.0006620577065221188,Volume,0.0006242712644852717,Open Volume_Float_Ratio,0.0004354269766051093,Short Interest Relative Volume,0.00025455046779649445
csv/finviz (65).csv,"{'gb__subsample': 0.8, 'gb__n_estimators': 200, 'gb__min_samples_split': 5, 'gb__min_samples_leaf': 1, 'gb__max_depth': 4, 'gb__learning_rate': 0.01}",-0.0817057530403652,16.429265240453656,0.9588320879610525,Relative Volume,0.132868992286184,Volume_Float_Ratio,0.043147750143251486,Insider Ownership Insider Transactions,0.04117210586114971,Institutional Transactions Volume_Float_Ratio,0.03593493169933937,Volume Per Minute Institutional Transactions,0.032524653615522474,Market Force Indicator Relative Volume,0.029296871980276088,Volume,0.02889323886801441,Relative Volume Volatility (Month),0.026832910975503096,Relative Volume Institutional Transactions,0.024499098574253354,Volume Per Minute,0.024491972408593455,Insider Ownership Volume_Float_Ratio,0.022693957652960877,Volume Institutional Ownership,0.02151135828358528,P/E Float Per Minute,0.02144376482204968,Institutional Transactions,0.020058734856607665,Market Force Indicator,0.01931508939580415,Insider Ownership^2,0.019229788403335422,Market Force Indicator Insider Transactions,0.018306152128937804,Relative Volume Volume_Float_Ratio,0.017886071452788792,Volume High,0.01776699876222348,Relative Volume Volatility (Week),0.01759272362262358,Insider Ownership,0.016596254208964517,Volume Relative Volume,0.016525365575148488,Volume Volume Per Minute,0.01639750605693813,Open Insider Ownership,0.016350795692478787,Volume Market Force Indicator,0.016256113884790684
csv/finviz (38).csv,"{'gb__subsample': 1.0, 'gb__n_estimators': 100, 'gb__min_samples_split': 2, 'gb__min_samples_leaf': 2, 'gb__max_depth': 5, 'gb__learning_rate': 0.2}",-6.603123613269551,2.0509344128366416e-06,0.9999999986242739,Volume Per Minute Relative Volume,0.30519705994642177,Market Force Indicator Relative Volume,0.2652950057833596,Volume^2,0.1713568592516717,Relative Volume,0.057496494983405165,Relative Volume Insider Transactions,0.054211378978153625,Volume Volume Per Minute,0.031575707161427546,Market Force Indicator,0.022392487326233505,Volume Volume_Float_Ratio,0.013925152670578506,Volatility (Month)^2,0.009304574220396229,Volatility (Week),0.008760003274641201,P/E Insider Transactions,0.00791847000341725,Volume Per Minute Average True Range,0.00791259347638377,Volume Per Minute,0.005812731246050096,Volume Volatility (Week),0.004618980071546808,Float Short Short Ratio,0.0038650426696283826,P/E Volume_Float_Ratio,0.0032862969753520944,Price Float Short,0.0032452116370576874,Volume Per Minute^2,0.002757816845984422,Volume Per Minute Volume_Float_Ratio,0.0022284607422526307,Open Volatility (Month),0.0019180026080331172,Short Ratio,0.001555559188835708,Volume Insider Transactions,0.0015013068663967694,Volatility (Month) Insider Transactions,0.0014456775854353847,Low Volatility (Month),0.0012503277488932734,Market Force Indicator^2,0.001146839330791764
csv/9_00.csv,"{'gb__subsample': 1.0, 'gb__n_estimators': 100, 'gb__min_samples_split': 2, 'gb__min_samples_leaf': 2, 'gb__max_depth': 4, 'gb__learning_rate': 0.2}",-448.39828502859774,1.0240481514180086e-07,0.9999999996179879,Market Force Indicator,0.31369092989575764,Volume Per Minute Market Force Indicator,0.1999475133480041,Volume^2,0.12797972755981388,Volume Per Minute,0.09355648873495467,Volume,0.06732726914812928,Volume Per Minute Institutional Transactions,0.052408036531185684,Market Force Indicator^2,0.04061854139542765,Volume Market Force Indicator,0.021466197632199768,Volatility (Month)^2,0.015788825788604438,Volume Volume_Float_Ratio,0.014163557634368858,Volatility (Week) Insider Ownership,0.007844356808319587,Short Ratio Volatility (Month),0.007662085043477249,Relative Volume Volume_Float_Ratio,0.004914205408659675,Market Cap Average True Range,0.0048324682577544275,Volume Volume Per Minute,0.004021245523096829,Insider Ownership Institutional Transactions,0.002935780141792006,Relative Volume Volatility (Week),0.002459156866204785,Short Ratio Insider Ownership,0.0024334635633999424,High Average True Range,0.0021933144770576924,Average True Range Volume_Float_Ratio,0.001874968588963473,Price Institutional Transactions,0.0014309826526708337,Market Force Indicator Open,0.0012827522309830502,Float Short Volume_Float_Ratio,0.0010715057084012415,Price Open,0.0009742251892017733,Volume Insider Transactions,0.0008698037852533832
csv/finviz (50).csv,"{'gb__subsample': 1.0, 'gb__n_estimators': 100, 'gb__min_samples_split': 2, 'gb__min_samples_leaf': 2, 'gb__max_depth': 5, 'gb__learning_rate': 0.2}",,5.604894256012706e-08,0.9999999999290341,Volume Volume_Float_Ratio,0.34795230137650823,Float Short Institutional Ownership,0.32001979494808186,Institutional Ownership^2,0.14160826536620438,Market Force Indicator^2,0.0946452914565189,Market Force Indicator Volume_Float_Ratio,0.02988374108551462,Short Interest Institutional Ownership,0.020009202994181362,Insider Transactions Institutional Ownership,0.01356308866302981,Market Cap,0.008679152831609733,Market Cap Open,0.0055571544905548805,Short Ratio,0.0037088975545524695,Volume Per Minute Average True Range,0.0026657278132891015,Low Relative Volume,0.0023736134256657957,Float Short Insider Transactions,0.001116397193700705,Market Cap^2,0.0010590931264502503,Volume Per Minute Open,0.0009327364993611675,Low,0.0008191580065092663,Market Cap Insider Ownership,0.0006910820450454457,Open Institutional Transactions,0.0006778251470115301,High,0.0005233645526348684,Float Per Minute Volatility (Month),0.00044165798567376486,Short Interest Volatility (Week),0.00034926749192846915,Relative Volume Institutional Transactions,0.0003191795300133045,Market Cap Float Short,0.0002637893125452351,Volume Volume Per Minute,0.00022906167598431968,Market Force Indicator Institutional Ownership,0.00022354680562585087
csv/finviz (51).csv,"{'gb__subsample': 1.0, 'gb__n_estimators': 100, 'gb__min_samples_split': 2, 'gb__min_samples_leaf': 2, 'gb__max_depth': 5, 'gb__learning_rate': 0.2}",,2.2271633655988182e-05,0.9999999979943156,Volume,0.22472126345554308,Short Ratio Volatility (Week),0.1695615534722727,Volume^2,0.13558136726730316,Relative Volume^2,0.09009016617839892,Relative Volume Insider Ownership,0.06475296092268044,Volatility (Month) Insider Transactions,0.05446121638221809,Volume Institutional Transactions,0.051902809978132396,Short Interest Relative Volume,0.03813481336036093,Average True Range^2,0.03192495030154673,Float Per Minute Volatility (Month),0.03001204016566567,Insider Transactions Institutional Ownership,0.023370754910721613,Relative Volume,0.020892011752725315,Insider Transactions Volume_Float_Ratio,0.015221686776057125,Volatility (Month) Insider Ownership,0.009270912744041645,Short Ratio Volatility (Month),0.00903108480126887,Market Force Indicator Float Short,0.00528977077315677,Relative Volume Volatility (Month),0.004372500630947676,Open Insider Transactions,0.0029570717254580646,Volume Volume Per Minute,0.002449435699299395,Volume Per Minute Short Ratio,0.0018491638419134472,High Open,0.0017417547705784139,Market Cap Institutional Ownership,0.0014236309146793166,Volatility (Week) Insider Ownership,0.0010702330240082796,Short Ratio Short Interest,0.0010187582793248387,Short Interest Institutional Ownership,0.0009397662972302181
csv/finviz (49).csv,"{'gb__subsample': 1.0, 'gb__n_estimators': 100, 'gb__min_samples_split': 2, 'gb__min_samples_leaf': 2, 'gb__max_depth': 5, 'gb__learning_rate': 0.2}",,0.0001011380534582034,0.9999999919507706,Volume Float Short,0.2049100344522469,Volume_Float_Ratio,0.16347991798708106,Volume,0.1107196304458279,Short Interest Volatility (Month),0.09059262479957259,Market Force Indicator Relative Volume,0.06726331518877776,Insider Transactions Volume_Float_Ratio,0.06389680251319849,Volume Per Minute Float Short,0.054891878346261254,Open Institutional Ownership,0.048638496787782745,Float Short Volume_Float_Ratio,0.035474584066608424,Relative Volume Volatility (Month),0.02930709125256842,Volume Per Minute Short Ratio,0.022535696964041393,Volume Volatility (Month),0.019596399433602397,Average True Range Institutional Ownership,0.01607383879165148,Insider Transactions Institutional Ownership,0.015110407352381783,High Volatility (Week),0.00955603445996242,Market Force Indicator Short Ratio,0.007726224878974241,Market Cap Relative Volume,0.0075602965884028995,High Institutional Ownership,0.005402553639965812,Volume^2,0.004915527028564838,Float Per Minute Institutional Transactions,0.004180662815550045,Float Per Minute Short Interest,0.0025451040699881015,Market Force Indicator Low,0.002091224698691348,Market Force Indicator Institutional Transactions,0.0017687318450537817,Volume Volume Per Minute,0.001751221371242974,Relative Volume Insider Transactions,0.001208987412443658
